endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss,source_section,metric,estimate,ci95_low,ci95_high,bootstrap_replicates,stratification,endpoint_class_balance_note
semantic_drift_without_reclassification,metadata-only,baseline review/status/submitter metadata only,comparator,26725,9868,0.3692422825070159,0.0,0.0,0.0,1.0,1.0,0.0,0.6307577174929841,1.0,0.0,1.0,,0.5,0.3692422825070159,metrics,,,,,,,
semantic_drift_without_reclassification,gene-only,gene identity only,comparator,26725,9868,0.0759214218896164,29.332086061739943,79.43858937981354,0.4768942937324602,0.2297848456501403,0.2439342706294121,0.7560657293705879,0.6695977853769745,0.2439342706294121,0.7943858937981354,0.2439342706294121,0.5148430316563772,0.5191600822137737,0.5528157156220767,metrics,,,,,,,
semantic_drift_without_reclassification,regime-only,baseline disease-model regime only,comparator,26725,9868,0.0608044901777362,30.84377923292797,83.53263072557763,0.4801496725912067,0.2114125350795135,0.2387732099424571,0.7612267900575429,0.7123893805309734,0.2387732099424571,0.8353263072557763,0.2387732099424571,0.5327860905535985,0.5370497585991167,0.5409541627689429,metrics,,,,,,,
semantic_drift_without_reclassification,portability-score-only,baseline portability score threshold only,comparator,26725,9868,0.2510383536014967,11.820392890551917,32.01256586947709,0.16377923292797,0.7180168381665107,0.7403452571631963,0.2596547428368037,0.6503726093074157,0.7403452571631963,0.320125658694771,0.7403452571631963,0.3630199954033555,0.5302354579289836,0.4148175865294667,metrics,,,,,,,
semantic_drift_without_reclassification,failure-topology-only,baseline failure/regime topology only,comparator,26725,9868,0.0608044901777362,30.84377923292797,83.53263072557763,0.4801496725912067,0.2114125350795135,0.2387732099424571,0.7612267900575429,0.7123893805309734,0.2387732099424571,0.8353263072557763,0.2387732099424571,0.5327860905535985,0.5370497585991167,0.5409541627689429,metrics,,,,,,,
semantic_drift_without_reclassification,CAB-Strict,gene + baseline disease-model regime,comparator,26725,9868,0.0241721234798877,34.507015902712816,93.4535873530604,0.5740318054256315,0.0808980355472404,0.0899329655336062,0.9100670344663938,0.7012025901942646,0.0899329655336062,0.934535873530604,0.0899329655336062,0.5356800557637013,0.5122344195321051,0.5982039289055192,metrics,,,,,,,
semantic_drift_without_reclassification,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,9868,0.0745743685687558,29.466791393826007,79.80340494527766,0.4322170252572497,0.2731150608044901,0.3147653793676218,0.6852346206323783,0.7269488971091931,0.3147653793676218,0.7980340494527767,0.3147653793676218,0.5376527616576774,0.5563997144101992,0.5067913938260056,metrics,,,,,,,
conservative_composite_routing,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,22900,0.8568755846585594,0.0,0.0,0.0,1.0,1.0,0.0,0.1431244153414406,1.0,0.0,1.0,,0.5,0.8568755846585594,metrics,,,,,,,
conservative_composite_routing,metadata-only,baseline review/status/submitter metadata only,comparator,26725,22900,0.8568755846585594,0.0,0.0,0.0,1.0,1.0,0.0,0.1431244153414406,1.0,0.0,1.0,,0.5,0.8568755846585594,metrics,,,,,,,
conservative_composite_routing,gene-only,gene identity only,comparator,26725,22900,0.1771749298409728,67.97006548175865,79.3231441048035,0.0905144995322731,0.2297848456501403,0.3675816993464052,0.6324183006535947,0.2289529392607067,0.3675816993464052,0.7932314410480349,0.3675816993464052,0.8354797166773986,0.5804065701972201,0.267689429373246,metrics,,,,,,,
conservative_composite_routing,regime-only,baseline disease-model regime only,comparator,26725,22900,0.0682881197380729,78.85874649204865,92.03056768558952,0.0,0.2114125350795135,1.0,0.0,0.6769911504424779,1.0,0.9203056768558951,1.0,0.9584991472427516,0.9601528384279476,0.0682881197380729,metrics,,,,,,,
conservative_composite_routing,portability-score-only,baseline portability score threshold only,comparator,26725,22900,0.5748924228250701,28.19831618334893,32.90829694323144,0.0,0.7180168381665107,1.0,0.0,0.1993329511699411,1.0,0.3290829694323144,1.0,0.4952030490208963,0.6645414847161573,0.5748924228250701,metrics,,,,,,,
conservative_composite_routing,failure-topology-only,baseline failure/regime topology only,comparator,26725,22900,0.0682881197380729,78.85874649204865,92.03056768558952,0.0,0.2114125350795135,1.0,0.0,0.6769911504424779,1.0,0.9203056768558951,1.0,0.9584991472427516,0.9601528384279476,0.0682881197380729,metrics,,,,,,,
conservative_composite_routing,CAB-Strict,gene + baseline disease-model regime,comparator,26725,22900,0.0282881197380729,82.85874649204864,96.69868995633188,0.0905144995322731,0.0808980355472404,0.3675816993464052,0.6324183006535947,0.6503237742830712,0.3675816993464052,0.9669868995633188,0.3675816993464052,0.933105787666182,0.667284299454862,0.1188026192703461,metrics,,,,,,,
