endpoint,model,budget,AUPRC,precision_at_budget,recall_at_budget,lift_at_budget,number_needed_to_review,net_prevented_unsupported_reuses_per_100_reviewed
E1_crude_condition_label_drift,gene+baseline-ontology+CAB,0.3,0.7292678267054498,0.6916936891993015,0.5620186461289015,1.8732786627332116,1.445726649837721,69.16936891993015
E1_crude_condition_label_drift,full baseline no follow-up ontology,0.01,0.7309243158719907,0.996268656716418,0.02705715443858938,2.6981434789973924,1.00374531835206,99.6268656716418
E1_crude_condition_label_drift,full baseline no follow-up ontology,0.05,0.7309243158719907,0.975317875841436,0.13214430482367248,2.6414035500468565,1.0253067484662577,97.5317875841436
E1_crude_condition_label_drift,full baseline no follow-up ontology,0.1,0.7309243158719907,0.9423868312757202,0.25526955816781516,2.5522180853104603,1.0611353711790392,94.23868312757202
E1_crude_condition_label_drift,full baseline no follow-up ontology,0.2,0.7309243158719907,0.8031805425631431,0.43504256181597084,2.175212809079854,1.245050081528069,80.31805425631431
E1_crude_condition_label_drift,full baseline no follow-up ontology,0.3,0.7309243158719907,0.6935644799201796,0.5635387109850021,1.8783452296176326,1.44182700953066,69.35644799201796
E2_normalized_condition_label_drift,gene-only,0.01,0.471142355430321,0.7425373134328358,0.03437553981689411,3.4279339612182653,1.3467336683417086,74.25373134328358
E2_normalized_condition_label_drift,gene-only,0.05,0.471142355430321,0.6237845923709798,0.14406633269994817,2.879710352584978,1.6031175059952039,62.378459237097985
E2_normalized_condition_label_drift,gene-only,0.1,0.471142355430321,0.5372240927796483,0.24805665918120573,2.480102587586129,1.8614206128133706,53.722409277964836
E2_normalized_condition_label_drift,gene-only,0.2,0.471142355430321,0.47913938260056127,0.44239074106063225,2.2119537053031615,2.0870753611870363,47.91393826005613
E2_normalized_condition_label_drift,gene-only,0.3,0.471142355430321,0.4330256921925667,0.599758162031439,1.999069204326541,2.309331797235023,43.30256921925667
E2_normalized_condition_label_drift,regime-only,0.01,0.287401899786103,0.44776119402985076,0.020728968733805492,2.067095856011014,2.2333333333333334,44.776119402985074
E2_normalized_condition_label_drift,regime-only,0.05,0.287401899786103,0.3275991024682124,0.07566073587839005,1.512365868623765,3.0525114155251143,32.75991024682124
E2_normalized_condition_label_drift,regime-only,0.1,0.287401899786103,0.3269734380845492,0.15097598894455,1.5094774801882151,3.0583524027459954,32.69734380845492
