domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
hereditary_cancer,temporal_condition_label_drift,portability-score-only,baseline portability score threshold only,comparator,20865,7602,0.2653247064462017,9.90174934100168,27.17705866877138,0.1408578959980829,0.7601246105919003,0.7784060921360175,0.2215939078639825,0.6509457755359395,0.7784060921360175,0.2717705866877137,0.7784060921360175,0.3277544221464266,0.5250883394118656,0.4061826024442846
hereditary_cancer,temporal_condition_label_drift,failure-topology-only,baseline failure/regime topology only,comparator,20865,7602,0.0511382698298586,31.320393002635992,85.9642199421205,0.4901030433740714,0.1966930265995686,0.2289828847168815,0.7710171152831184,0.740009746588694,0.2289828847168815,0.8596421994212049,0.2289828847168815,0.5364692361367648,0.5443125420690432,0.54124131320393
hereditary_cancer,temporal_condition_label_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,20865,7602,0.0138509465612269,35.04912532949916,96.19836885030256,0.6053678408818596,0.0441409058231488,0.0476513609288999,0.9523486390711,0.6862106406080347,0.0476513609288999,0.9619836885030256,0.0476513609288999,0.530966383503957,0.5048175247159628,0.6192187874430866
hereditary_cancer,temporal_condition_label_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,20865,7602,0.0853103283009825,27.903187155523607,76.58510918179427,0.4191229331416247,0.3018451953031392,0.3406469124632436,0.6593530875367564,0.7173705938393141,0.3406469124632436,0.7658510918179426,0.3406469124632436,0.5252379448779828,0.5532490021405931,0.5044332614426073
inherited_arrhythmia,temporal_condition_label_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,942,365,0.3874734607218684,0.0,0.0,0.0,1.0,1.0,0.0,0.6125265392781316,1.0,0.0,1.0,,0.5,0.3874734607218684
inherited_arrhythmia,temporal_condition_label_drift,metadata-only,baseline review/status/submitter metadata only,comparator,942,365,0.3874734607218684,0.0,0.0,0.0,1.0,1.0,0.0,0.6125265392781316,1.0,0.0,1.0,,0.5,0.3874734607218684
inherited_arrhythmia,temporal_condition_label_drift,gene-only,gene identity only,comparator,942,365,0.1740976645435244,21.3375796178344,55.06849315068494,0.1104033970276008,0.6762208067940552,0.8197573656845754,0.1802426343154246,0.7425431711145997,0.8197573656845754,0.5506849315068493,0.8197573656845754,0.6000000000000001,0.6852211485957123,0.2845010615711252
inherited_arrhythmia,temporal_condition_label_drift,regime-only,baseline disease-model regime only,comparator,942,365,0.3874734607218684,0.0,0.0,0.0,1.0,1.0,0.0,0.6125265392781316,1.0,0.0,1.0,,0.5,0.3874734607218684
inherited_arrhythmia,temporal_condition_label_drift,portability-score-only,baseline portability score threshold only,comparator,942,365,0.0212314225053078,36.62420382165605,94.52054794520548,0.2123142250530785,0.4214437367303609,0.6533795493934142,0.3466204506065858,0.9496221662468514,0.6533795493934142,0.9452054794520548,0.6533795493934142,0.7582417582417583,0.7992925144227345,0.2335456475583864
inherited_arrhythmia,temporal_condition_label_drift,failure-topology-only,baseline failure/regime topology only,comparator,942,365,0.3874734607218684,0.0,0.0,0.0,1.0,1.0,0.0,0.6125265392781316,1.0,0.0,1.0,,0.5,0.3874734607218684
inherited_arrhythmia,temporal_condition_label_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,942,365,0.1740976645435244,21.3375796178344,55.06849315068494,0.1104033970276008,0.6762208067940552,0.8197573656845754,0.1802426343154246,0.7425431711145997,0.8197573656845754,0.5506849315068493,0.8197573656845754,0.6000000000000001,0.6852211485957123,0.2845010615711252
inherited_arrhythmia,temporal_condition_label_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,942,365,0.0212314225053078,36.62420382165605,94.52054794520548,0.2123142250530785,0.4214437367303609,0.6533795493934142,0.3466204506065858,0.9496221662468514,0.6533795493934142,0.9452054794520548,0.6533795493934142,0.7582417582417583,0.7992925144227345,0.2335456475583864
all_domains,cross_environment_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,3863,0.1445463049579045,0.0,0.0,0.0,1.0,1.0,0.0,0.8554536950420955,1.0,0.0,1.0,,0.5,0.1445463049579045
all_domains,cross_environment_drift,metadata-only,baseline review/status/submitter metadata only,comparator,26725,3863,0.1445463049579045,0.0,0.0,0.0,1.0,1.0,0.0,0.8554536950420955,1.0,0.0,1.0,,0.5,0.1445463049579045
all_domains,cross_environment_drift,gene-only,gene identity only,comparator,26725,3863,0.0195696913002806,12.497661365762394,86.46129950815428,0.6452385406922357,0.2297848456501403,0.2457352812527338,0.7542647187472662,0.9148347174727244,0.2457352812527338,0.8646129950815429,0.2457352812527338,0.2732441608377306,0.5551741381671383,0.6648082319925164
