GeneSymbol,cab_domain_gene_set,clinvar_rows,unique_variation_ids,plp_or_pathogenic_label_rows,unique_condition_labels,top_condition_labels,review_status_top
PMS2,hereditary_cancer,12118,6126,3185,859,Hereditary cancer-predisposing syndrome || Hereditary nonpolyposis colorectal neoplasms || Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms || Lynch syndrome 4,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || reviewed by expert panel || no assertion criteria provided"
PTEN,hereditary_cancer,8088,4081,3038,574,PTEN hamartoma tumor syndrome || Hereditary cancer-predisposing syndrome || not provided || Cowden syndrome 1 || Hereditary cancer-predisposing syndrome|PTEN hamartoma tumor syndrome,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
STK11,hereditary_cancer,6082,3066,1543,310,Peutz-Jeghers syndrome || Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Peutz-Jeghers syndrome || Peutz-Jeghers syndrome|Hereditary cancer-predisposing syndrome || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
TP53,hereditary_cancer,7836,3949,3366,833,Li-Fraumeni syndrome || Hereditary cancer-predisposing syndrome || Li-Fraumeni syndrome|Hereditary cancer-predisposing syndrome || Li-Fraumeni syndrome 1 || Hereditary cancer-predisposing syndrome|Li-Fraumeni syndrome|Li-Fraumeni syndrome 1,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
ANK2,inherited_arrhythmia,8481,4245,898,359,Long QT syndrome || Cardiovascular phenotype || not provided || Long QT syndrome|Cardiovascular phenotype || Cardiovascular phenotype|Long QT syndrome,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
CACNA1C,inherited_arrhythmia,7445,3744,730,313,Long QT syndrome || not provided || Long QT syndrome|Cardiovascular phenotype || Cardiovascular phenotype || not provided|Long QT syndrome,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
CASQ2,inherited_arrhythmia,1739,875,247,153,Catecholaminergic polymorphic ventricular tachycardia 1 || Cardiovascular phenotype || not provided || Catecholaminergic polymorphic ventricular tachycardia 2 || Catecholaminergic polymorphic ventricular tachycardia 1|Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
HCN4,inherited_arrhythmia,4515,2262,196,192,Brugada syndrome 8 || Brugada syndrome 8|Cardiovascular phenotype || Cardiovascular phenotype || Cardiovascular phenotype|Brugada syndrome 8 || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
KCNE1,inherited_arrhythmia,2524,1264,127,123,Long QT syndrome 5 || Long QT syndrome|Long QT syndrome 5 || not provided || Jervell and Lange-Nielsen syndrome 2|Long QT syndrome 5 || Long QT syndrome 5|Jervell and Lange-Nielsen syndrome 2,"- || criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided"
KCNE2,inherited_arrhythmia,336,169,48,56,Long QT syndrome 6 || Cardiovascular phenotype || not provided || Long QT syndrome 6|Cardiovascular phenotype || Cardiovascular phenotype|Long QT syndrome 6,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided || no assertion criteria provided"
KCNH2,inherited_arrhythmia,7628,3826,2007,467,Long QT syndrome || not provided || Cardiac arrhythmia || Cardiovascular phenotype || Long QT syndrome|Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided || no assertion criteria provided"
KCNJ2,inherited_arrhythmia,1363,683,263,142,Andersen Tawil syndrome;Short QT syndrome type 3 || not provided || Cardiovascular phenotype || Short QT syndrome type 3;Andersen Tawil syndrome || Andersen Tawil syndrome;Short QT syndrome type 3|Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided || no assertion criteria provided"
KCNQ1,inherited_arrhythmia,5127,2577,1514,509,Long QT syndrome || not provided || Cardiovascular phenotype || Cardiac arrhythmia || KCNQ1-related disorder,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || no classification provided"
RYR2,inherited_arrhythmia,19962,10019,1874,1001,Catecholaminergic polymorphic ventricular tachycardia 1 || Cardiomyopathy || not provided || Catecholaminergic polymorphic ventricular tachycardia || Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || - || no assertion criteria provided"
SCN5A,inherited_arrhythmia,10073,5047,1847,809,not provided || Cardiac arrhythmia || Cardiovascular phenotype || Cardiac arrhythmia|not provided || not provided|Cardiac arrhythmia,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided || -"
TRDN,inherited_arrhythmia,3153,1598,254,143,Catecholaminergic polymorphic ventricular tachycardia 1 || Cardiovascular phenotype || not provided || Cardiovascular phenotype|Catecholaminergic polymorphic ventricular tachycardia 1 || Catecholaminergic polymorphic ventricular tachycardia 1|Cardiovascular phenotype,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || no classifications from unflagged records"
LMNA,inherited_arrhythmia|cardiomyopathy,4906,2467,1655,602,Charcot-Marie-Tooth disease type 2 || not provided || Cardiovascular phenotype || Cardiomyopathy || not provided|Charcot-Marie-Tooth disease type 2,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no classification provided || no assertion criteria provided"
