endpoint,policy,workload_fraction,recall,precision,enrichment_over_random
cross_environment_drift,metadata-only priority,0.42000000000000004,0.4152213305720942,0.14289532293986637,0.9885781790235384
cross_environment_drift,metadata-only priority,0.43,0.42479937872120116,0.14279498781761224,0.9878840407521842
cross_environment_drift,metadata-only priority,0.44,0.4387781516955734,0.14414491028148652,0.9972230720353941
cross_environment_drift,metadata-only priority,0.45,0.4475796013461041,0.14375987361769352,0.994559312045783
cross_environment_drift,metadata-only priority,0.46,0.4628527051514367,0.14543679843826257,1.0061606104743896
cross_environment_drift,metadata-only priority,0.47000000000000003,0.470359823971007,0.14465408805031446,1.0007456648057609
cross_environment_drift,metadata-only priority,0.48000000000000004,0.47916127362153765,0.14428248499493335,0.9981748411829132
cross_environment_drift,metadata-only priority,0.49,0.4990939684183277,0.1472205253512523,1.018500786956308
cross_environment_drift,metadata-only priority,0.5,0.5161791353870049,0.14921798997231162,1.032319643285019
cross_environment_drift,metadata-only priority,0.51,0.5342997670204505,0.15143066764490096,1.0476273861791299
cross_environment_drift,metadata-only priority,0.52,0.5511260678229355,0.15319853205727854,1.0598578227364146
cross_environment_drift,metadata-only priority,0.53,0.5692466994563811,0.15524179315213554,1.0739935081519085
cross_environment_drift,metadata-only priority,0.54,0.5894382604193632,0.15777439024390244,1.0915145170251859
cross_environment_drift,metadata-only priority,0.55,0.6088532228837691,0.1600108850942241,1.1069870318775923
cross_environment_drift,metadata-only priority,0.56,0.6256795236862542,0.1614886082715307,1.1172102138381201
cross_environment_drift,metadata-only priority,0.5700000000000001,0.6435412891535076,0.16318760666929238,1.1289642216507478
cross_environment_drift,metadata-only priority,0.5800000000000001,0.6471654154801968,0.16127991742468228,1.1157664491780053
cross_environment_drift,metadata-only priority,0.59,0.6502718094745017,0.15930999492643327,1.1021381347162644
cross_environment_drift,metadata-only priority,0.6,0.6505306756406938,0.15671967570938572,1.0842177927344896
cross_environment_drift,metadata-only priority,0.61,0.6507895418068859,0.15420474759246763,1.0668190213328237
cross_environment_drift,metadata-only priority,0.62,0.6595909914574165,0.15377187688593844,1.0638243359504802
cross_environment_drift,metadata-only priority,0.63,0.674346362930365,0.15471877412840768,1.0703751588355412
cross_environment_drift,metadata-only priority,0.64,0.6878074035723531,0.15534377923292797,1.0746990680818018
cross_environment_drift,metadata-only priority,0.65,0.7142117525239451,0.15881878885562975,1.0987398737164653
cross_environment_drift,metadata-only priority,0.66,0.7224954698420917,0.1582289245422076,1.0946590754311412
