domain_group,endpoint,N,endpoint_rate,threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.09,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.1,0.00020333468889792598,0.6132574217161447,0.00040666937779585197,0.00033145508783559825,0.9995933306222041,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.11,0.00040666937779585197,0.6132574217161447,0.0006100040666937779,0.00033145508783559825,0.9993899959333062,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.12,0.0020333468889792597,0.6085807238714924,0.0069133794225294835,0.007954922108054359,0.9930866205774705,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.13,0.0038633590890605938,0.6039040260268401,0.013420089467263115,0.01557838912827312,0.9865799105327369,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.14,0.0038633590890605938,0.6030906872712485,0.014233428222854819,0.01690420947961551,0.9857665717771452,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.15,0.0038633590890605938,0.6030906872712485,0.014233428222854819,0.01690420947961551,0.9857665717771452,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.16,0.0038633590890605938,0.5994306628710858,0.017893452623017485,0.02287040106065628,0.9821065473769826,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.17,0.004676697844652297,0.5955673037820252,0.022570150467669785,0.02916804772953265,0.9774298495323303,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.18,0.0071167141114274095,0.5815372102480684,0.03904026026840179,0.05203844879018893,0.9609597397315982,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.19,0.0073200488003253355,0.5813338755591704,0.03944692964619764,0.05236990387802453,0.9605530703538023,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.2,0.008946726311508743,0.5738104920699472,0.04859699064660431,0.06463374212794167,0.9514030093533957,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.21,0.01708011386742578,0.5455469703131354,0.08499389995933307,0.11070599933708983,0.915006100040667,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.22,0.01708011386742578,0.5455469703131354,0.08499389995933307,0.11070599933708983,0.915006100040667,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.23,0.01708011386742578,0.5437169581130541,0.0868239121594144,0.1136890951276102,0.9131760878405856,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.24,0.01728344855632371,0.5437169581130541,0.08702724684831233,0.1136890951276102,0.9129727531516877,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.25,0.017486783245221633,0.5424969499796666,0.08845058967059781,0.1156778256546238,0.9115494103294022,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.26,0.01769011793411956,0.5414802765351769,0.08967059780398536,0.11733510109380178,0.9103294021960147,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.27,0.01911346075640504,0.5408702724684831,0.09170394469296463,0.11832946635730858,0.9082960553070354,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.28,0.024603497356649046,0.5235868239121594,0.11447742984953233,0.14650314882333443,0.8855225701504676,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.29,0.025620170801138674,0.5211468076453843,0.11793411956079707,0.15048060987736162,0.882065880439203,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.3,0.02684017893452623,0.5176901179341196,0.12261081740544937,0.1561153463705668,0.8773891825945507,frontier
