endpoint,policy,budget,reviewed_N,positives_captured,precision_at_budget,recall_at_budget,enrichment_over_random,number_needed_to_review,workload_to_capture_25pct_future_drift,workload_to_capture_50pct_future_drift,workload_to_capture_75pct_future_drift,unsupported_reuse_avoided_per_100_reviewed,direct_use_preserved_per_100_assertions
conservative_composite_non_portability,CAB-Strict review queue,0.1,2673,1010,0.3778526000748223,0.10036768359336182,1.0034890924177309,2.6465346534653467,0.2372310570626754,0.5179420018709074,0.7205612722170253,0.13137787464780337,27.311506080449018
conservative_composite_non_portability,CAB-Strict review queue,0.2,5345,2128,0.3981290926099158,0.21146775315512273,1.0573387657756135,2.511748120300752,0.2372310570626754,0.5179420018709074,0.7205612722170253,2.159027128157154,27.311506080449018
conservative_composite_non_portability,CAB-Strict review queue,0.3,8018,3207,0.39997505612372164,0.31869223889496173,1.0622412178183902,2.5001559089491736,0.2372310570626754,0.5179420018709074,0.7205612722170253,2.3436234795377375,27.30402245088868
conservative_composite_non_portability,all-baseline predictor,0.01,268,255,0.9514925373134329,0.025340355758720064,2.5269440584022154,1.0509803921568628,0.1052198316183349,0.268400374181478,0.5075023386342377,57.49537159850886,27.289055191768007
conservative_composite_non_portability,all-baseline predictor,0.05,1337,1278,0.955871353777113,0.12699990062605584,2.538573181923218,1.046165884194053,0.1052198316183349,0.268400374181478,0.5075023386342377,57.93325324487687,27.079513564078578
conservative_composite_non_portability,all-baseline predictor,0.1,2673,2419,0.9049756827534605,0.24038557090330914,2.403406054018308,1.1050020669698222,0.1052198316183349,0.268400374181478,0.5075023386342377,52.84368614251163,26.087932647333957
conservative_composite_non_portability,all-baseline predictor,0.2,5345,4071,0.7616463985032741,0.40455132664215443,2.022756633210772,1.3129452223041023,0.1052198316183349,0.268400374181478,0.5075023386342377,38.510757717492986,23.21047708138447
conservative_composite_non_portability,all-baseline predictor,0.3,8018,5463,0.6813419805437765,0.5428798569015204,1.8094866769385298,1.4676917444627495,0.1052198316183349,0.268400374181478,0.5075023386342377,30.480315921543223,21.87090739008419
identity_vs_meaning_discordance,random review,0.01,268,6,0.022388059701492536,0.019736842105263157,1.968160840534171,44.66666666666667,0.22783910196445276,0.4292984097287184,0.6958652946679139,1.1012942769780656,27.019644527595883
identity_vs_meaning_discordance,random review,0.05,1337,18,0.013462976813762155,0.05921052631578947,1.1835462346966894,74.27777777777777,0.22783910196445276,0.4292984097287184,0.6958652946679139,0.20878598820502742,25.99812909260992
identity_vs_meaning_discordance,random review,0.1,2673,32,0.011971567527123082,0.10526315789473684,1.0524346781656722,83.53125,0.22783910196445276,0.4292984097287184,0.6958652946679139,0.059645059541120135,24.594948550046773
identity_vs_meaning_discordance,random review,0.2,5345,65,0.01216089803554724,0.2138157894736842,1.069078947368421,82.23076923076923,0.22783910196445276,0.4292984097287184,0.6958652946679139,0.07857811038353597,21.927034611786716
identity_vs_meaning_discordance,random review,0.3,8018,103,0.012846096283362434,0.33881578947368424,1.1293155367528322,77.84466019417476,0.22783910196445276,0.4292984097287184,0.6958652946679139,0.14709793516505532,19.277829747427504
identity_vs_meaning_discordance,gene-only priority,0.01,268,169,0.6305970149253731,0.555921052631579,55.43653034171249,1.5857988165680474,0.00460243217960711,0.008606173994387277,0.018709073900841908,61.92218979936612,27.217960710944812
identity_vs_meaning_discordance,gene-only priority,0.05,1337,304,0.22737471952131638,1.0,19.988780852655196,4.3980263157894735,0.00460243217960711,0.008606173994387277,0.018709073900841908,21.59996025896045,25.418147801683816
