threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
direct-use threshold,0.9,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.91,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.92,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.93,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.9400000000000001,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.9500000000000001,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.96,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.97,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.98,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,0.99,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
direct-use threshold,1.0,0.37653882132834426,0.0,1.0,1.0,0.0,frontier
repair/review threshold,0.0,0.01968194574368569,0.599887745556595,0.043255378858746495,0.03781058696435002,0.9567446211412535,frontier
repair/review threshold,0.01,0.01968194574368569,0.599887745556595,0.043255378858746495,0.03781058696435002,0.9567446211412535,frontier
repair/review threshold,0.02,0.023161833489242282,0.5831244153414405,0.06349859681945744,0.06469811547233226,0.9365014031805425,frontier
repair/review threshold,0.03,0.023161833489242282,0.5831244153414405,0.06349859681945744,0.06469811547233226,0.9365014031805425,frontier
repair/review threshold,0.04,0.023872778297474275,0.5817025257249766,0.06563143124415341,0.06697875405113432,0.9343685687558466,frontier
repair/review threshold,0.05,0.023872778297474275,0.5817025257249766,0.06563143124415341,0.06697875405113432,0.9343685687558466,frontier
repair/review threshold,0.06,0.024097287184284378,0.5814780168381665,0.06608044901777362,0.06733885487936622,0.9339195509822263,frontier
repair/review threshold,0.07,0.024246959775491114,0.5814780168381665,0.06623012160898036,0.06733885487936622,0.9337698783910197,frontier
repair/review threshold,0.08,0.02480823199251637,0.581178671655753,0.06709073900841908,0.06781898931700876,0.9329092609915809,frontier
repair/review threshold,0.09,0.0346866230121609,0.5307015902712816,0.1274462114125351,0.14878165886448205,0.8725537885874649,frontier
repair/review threshold,0.1,0.03483629560336763,0.5303274087932648,0.12797006548175865,0.14938182691153523,0.8720299345182414,dominated
repair/review threshold,0.11,0.03483629560336763,0.5303274087932648,0.12797006548175865,0.14938182691153523,0.8720299345182414,dominated
repair/review threshold,0.12,0.03483629560336763,0.530289990645463,0.12800748362956033,0.14944184371624056,0.8719925163704396,frontier
repair/review threshold,0.13,0.03558465855940131,0.5265481758652947,0.13249766136576238,0.1554435241867723,0.8675023386342376,frontier
repair/review threshold,0.14,0.045575304022450885,0.4997567820392891,0.1692797006548176,0.19841555635577962,0.8307202993451824,frontier
repair/review threshold,0.15,0.045575304022450885,0.4997567820392891,0.1692797006548176,0.19841555635577962,0.8307202993451824,frontier
repair/review threshold,0.16,0.04853133769878391,0.49934518241347053,0.17264733395696913,0.1990757412075381,0.8273526660430308,dominated
repair/review threshold,0.17,0.04853133769878391,0.49930776426566886,0.1726847521047708,0.19913575801224342,0.8273152478952291,frontier
repair/review threshold,0.18,0.04856875584658559,0.49930776426566886,0.1727221702525725,0.19913575801224342,0.8272778297474275,frontier
repair/review threshold,0.19,0.050851262862488304,0.49264733395696914,0.18166510757717494,0.20981874924978994,0.8183348924228251,frontier
repair/review threshold,0.2,0.05088868101028999,0.49234798877455566,0.1820018709073901,0.2102988836874325,0.8179981290926099,dominated
repair/review threshold,0.21,0.05088868101028999,0.49234798877455566,0.1820018709073901,0.2102988836874325,0.8179981290926099,dominated
repair/review threshold,0.22,0.05088868101028999,0.492310570626754,0.18203928905519176,0.2103589004921378,0.8179607109448083,frontier
repair/review threshold,0.23,0.05088868101028999,0.492310570626754,0.18203928905519176,0.2103589004921378,0.8179607109448083,frontier
repair/review threshold,0.24,0.050926099158091674,0.492310570626754,0.18207670720299346,0.2103589004921378,0.8179232927970066,frontier
repair/review threshold,0.25,0.1542376052385407,0.35296538821328344,0.424733395696913,0.4338614812147401,0.575266604303087,frontier
repair/review threshold,0.26,0.15431244153414406,0.35285313376987837,0.4249204864359214,0.43404153162885606,0.5750795135640786,frontier
repair/review threshold,0.27,0.15431244153414406,0.35285313376987837,0.4249204864359214,0.43404153162885606,0.5750795135640786,frontier
repair/review threshold,0.28,0.15449953227315247,0.35266604303086996,0.4252946679139383,0.43434161565238266,0.5747053320860618,frontier
repair/review threshold,0.29,0.15449953227315247,0.35266604303086996,0.4252946679139383,0.43434161565238266,0.5747053320860618,frontier
repair/review threshold,0.3,0.15453695042095417,0.35266604303086996,0.42533208606173994,0.43434161565238266,0.5746679139382601,frontier
repair/review threshold,0.31,0.19206735266604302,0.33324602432179606,0.4822825070159027,0.46549033729444245,0.5177174929840973,frontier
repair/review threshold,0.32,0.1932647333956969,0.3166697848456501,0.5000561272217026,0.4920777817788981,0.4999438727782975,frontier
repair/review threshold,0.33,0.20291861552853133,0.3103461178671656,0.5160336763330216,0.5022206217740968,0.4839663236669785,frontier
repair/review threshold,0.34,0.20310570626753977,0.3102712815715622,0.5162956033676332,0.5023406553835074,0.4837043966323667,frontier
repair/review threshold,0.35000000000000003,0.21451824134705333,0.3058559401309635,0.5321234798877456,0.5094226383387348,0.46787652011225445,frontier
repair/review threshold,0.36,0.214555659494855,0.30574368568755844,0.5322731524789522,0.5096026887528508,0.4677268475210477,frontier
repair/review threshold,0.37,0.2178110383536015,0.2986716557530402,0.542600561272217,0.5209458648421558,0.457399438727783,frontier
repair/review threshold,0.38,0.2179981290926099,0.29822263797942,0.5432366697848456,0.5216660664986196,0.45676333021515436,frontier
repair/review threshold,0.39,0.24194574368568755,0.19966323666978483,0.6657436856875585,0.6797503300924259,0.3342563143124415,frontier
repair/review threshold,0.4,0.24531337698783912,0.196333021515435,0.6724415341440598,0.6850918257111991,0.3275584658559401,frontier
repair/review threshold,0.41000000000000003,0.24568755846585594,0.19614593077642656,0.6730028063610851,0.6853919097347257,0.3269971936389149,frontier
repair/review threshold,0.42,0.24568755846585594,0.19614593077642656,0.6730028063610851,0.6853919097347257,0.3269971936389149,frontier
repair/review threshold,0.43,0.24568755846585594,0.19614593077642656,0.6730028063610851,0.6853919097347257,0.3269971936389149,frontier
repair/review threshold,0.44,0.2469597754911132,0.19266604303086998,0.677754911131899,0.6909734725723202,0.32224508886810105,frontier
repair/review threshold,0.45,0.24778297474275024,0.19225444340505146,0.6789897100093545,0.6916336574240788,0.32101028999064546,dominated
repair/review threshold,0.46,0.24778297474275024,0.19199251637043965,0.6792516370439663,0.6920537750570159,0.32074836295603365,frontier
repair/review threshold,0.47000000000000003,0.24778297474275024,0.19199251637043965,0.6792516370439663,0.6920537750570159,0.32074836295603365,frontier
repair/review threshold,0.48,0.254555659494855,0.16243217960710946,0.7155846585594013,0.7394670507742168,0.2844153414405987,frontier
repair/review threshold,0.49,0.2546304957904584,0.16213283442469598,0.7159588400374182,0.7399471852118593,0.28404115996258184,frontier
repair/review threshold,0.5,0.2554536950420954,0.16089803554724041,0.7180168381665107,0.7419277397671348,0.28198316183348926,frontier
repair/review threshold,0.51,0.2554911131898971,0.16082319925163704,0.7181290926099159,0.7420477733765455,0.2818709073900842,frontier
repair/review threshold,0.52,0.26271281571562205,0.15749298409728718,0.7286810102899907,0.7473892689953187,0.27131898971000934,frontier
repair/review threshold,0.53,0.2687745556594949,0.15637043966323666,0.735865294667914,0.7491897731364782,0.26413470533208605,frontier
repair/review threshold,0.54,0.26881197380729654,0.15618334892422825,0.7360898035547241,0.7494898571600048,0.26391019644527597,frontier
repair/review threshold,0.55,0.2689616463985033,0.15614593077642658,0.7362768942937324,0.7495498739647101,0.26372310570626756,frontier
repair/review threshold,0.56,0.26971000935453693,0.15592142188961647,0.7372497661365762,0.749909974792942,0.2627502338634238,frontier
repair/review threshold,0.5700000000000001,0.27476145930776424,0.15318989710009354,0.7450327408793265,0.7542912015364303,0.25496725912067353,frontier
repair/review threshold,0.58,0.27476145930776424,0.15318989710009354,0.7450327408793265,0.7542912015364303,0.25496725912067353,frontier
repair/review threshold,0.59,0.2774929840972872,0.14069223573433115,0.7602619270346118,0.7743368143080063,0.2397380729653882,frontier
repair/review threshold,0.6,0.2808980355472404,0.13960710944808233,0.7647521047708138,0.7760773016444604,0.23524789522918615,frontier
repair/review threshold,0.61,0.2810851262862488,0.13960710944808233,0.7649391955098223,0.7760773016444604,0.23506080449017774,frontier
repair/review threshold,0.62,0.2820954162768943,0.13661365762394762,0.7689429373246024,0.7808786460208859,0.23105706267539758,frontier
repair/review threshold,0.63,0.28688493919550984,0.12823199251637044,0.7821141253507952,0.7943224102748769,0.21788587464920486,frontier
repair/review threshold,0.64,0.2877829747427502,0.12729653882132835,0.7839476145930776,0.7958228303925099,0.21605238540692237,frontier
repair/review threshold,0.65,0.2891300280636109,0.1269223573433115,0.7856688493919551,0.7964229984395631,0.2143311506080449,frontier
repair/review threshold,0.66,0.31547240411599625,0.06963517305893359,0.8692984097287184,0.8883087264434042,0.13070159027128156,frontier
repair/review threshold,0.67,0.33545369504209543,0.06492048643592142,0.8939943872778298,0.8958708438362741,0.10600561272217025,frontier
repair/review threshold,0.68,0.3356782039289055,0.06484565014031805,0.8942937324602432,0.8959908774456848,0.10570626753975679,frontier
repair/review threshold,0.6900000000000001,0.3358652946679139,0.06484565014031805,0.8944808231992516,0.8959908774456848,0.10551917680074836,frontier
repair/review threshold,0.7000000000000001,0.33930776426566883,0.056987839101964456,0.9057811038353601,0.9085944064338015,0.09421889616463985,frontier
repair/review threshold,0.71,0.36037418147801686,0.012722170252572497,0.9711131898971,0.9795942864001921,0.028886810102899906,frontier
repair/review threshold,0.72,0.3604490177736202,0.012722170252572497,0.9711880261927035,0.9795942864001921,0.02881197380729654,frontier
